1,2,TUF Gaming GT301,320
2,2,GX 601,450
3,2,ROG Strix Helios,450
4,2,Z11,320
5,3,Silent Base 802,282
6,3,Pure Base 600,280
7,3,Silent Base 800,290
8,3,Dark Base 900,323
9,4,MasterCase H500,410
10,4,MasterBox Pro 5 RGB,410
11,4,Cosmos C700M,320
12,4,Trooper Se,322
13,4,Cosmos II,385
14,4,Elite 130,343
15,4,MasterCase H100 ARGB,210
16,4,MasterBox MB400L,344
17,4,Elite 110,210
18,5,5000D AIRFLOW,420
19,5,4000D,360
20,5,Obsidian 500D RGB SE,370
21,5,1000D,400
22,5,iCUE 7000X RGB,450
23,5,Crystal 280X RGB,300
24,5,250 D,290
25,5,Air 240,330
26,13,H510 Elite,381
27,13,H710,413
28,13,CRFT 08 H510 Valhalla,381
29,13,H700 Nuka-Cola,413
30,13,H510i Phantom Gaming,381
31,13,Phantom 630,507
